Name,Generation
Red Version,1
Blue Version,1
Yellow Version,1
Gold Version,2
Silver Version,2
Crystal Version,2
Ruby Version,3
Sapphire Version,3
Fire Red Version,3
Leaf Green Version,3
Emerald Version,3
Diamond Version,4
Pearl Version,4
Platinum Version,4
Heart Gold Version,4
Soul Silver Version,4
Black Version,5
White Version,5
Black Version 2,5
White Version 2,5
Pokemon X,6
Pokemon Y,6
Omega Ruby Version,6
Alpha Sapphire Version,6
Pokemon Sun,7
Pokemon Moon,7
Pokemon Ultra Sun,7
Pokemon Ultra Moon,7
